Irradiance,Temperature,V_OC,I_SC,P_MP,V_MP,I_MP,V_1,I_1,V_2,I_2,D
1000,50,66.052,9,442.26,53.74,8.2297,49.936,8.6,57.346,7.4,0.611418462
1000,49,66.29,9,444.54,53.96,8.2383,48.526,8.7,57.576,7.4,0.609827692
1000,48,66.53,9,446.82,54.304,8.228,50.532,8.6,57.874,7.4,0.607340308
1000,47,66.768,9,449.1,54.444,8.249,48.996,8.7,58.062,7.4,0.606328
1000,46,67.008,9,451.4,54.706,8.2513,49.602,8.7,58.316,7.4,0.604433538
1000,45,67.242,9,453.68,54.968,8.2535,49.872,8.7,58.674,7.4,0.602539077
1000,44,67.484,9,455.96,55.106,8.2742,49.94,8.7,58.864,7.4,0.601541231
1000,43,67.722,9,458.26,55.452,8.2641,50.344,8.7,59.16,7.4,0.599039385
1000,42,67.958,9,460.54,55.652,8.2755,50.512,8.7,59.382,7.4,0.597593231
1000,41,68.198,9,462.84,56.018,8.2622,50.95,8.7,59.688,7.4,0.594946769
1000,40,68.432,9,465.14,56.158,8.2828,51.352,8.7,59.664,7.5,0.593934462
1000,39,68.674,9,467.44,56.42,8.2849,51.422,8.7,59.918,7.5,0.59204
1000,38,68.91,9,469.72,56.724,8.2809,51.956,8.7,60.194,7.5,0.589841846
1000,37,69.15,9,472.02,56.904,8.2951,52.094,8.7,60.404,7.5,0.588540308
1000,36,69.384,9,474.32,57.208,8.2911,52.43,8.7,60.68,7.5,0.586342154
1000,35,69.62,9,476.62,57.472,8.2931,52.7,8.7,60.934,7.5,0.584433231
1000,34,69.86,9,478.92,57.672,8.3042,52.87,8.7,61.264,7.5,0.582987077
1000,33,70.1,9,481.24,57.832,8.3212,53.304,8.7,61.464,7.5,0.581830154
1000,32,70.334,9,483.52,58.178,8.3112,53.704,8.7,61.762,7.5,0.579328308
1000,31,70.574,9,485.84,58.296,8.334,51.282,8.8,62.046,7.5,0.578475077
1000,30,70.804,9,488.14,58.664,8.3211,54.178,8.7,62.248,7.5,0.575814154
1000,29,71.044,9,490.46,58.928,8.3231,54.448,8.7,62.502,7.5,0.573905231
1000,28,71.278,9,492.76,59.066,8.3427,52.428,8.8,62.798,7.5,0.572907385
1000,27,71.518,9,495.08,59.288,8.3505,52.626,8.8,63.032,7.5,0.571302154
1000,26,71.752,9,497.4,59.636,8.3406,53.044,8.8,63.328,7.5,0.568785846
1000,25,71.988,9,499.72,59.816,8.3542,53.168,8.8,63.642,7.5,0.567484308
1000,24,72.226,9,502.04,60.122,8.3502,53.512,8.8,63.916,7.5,0.565271692
1000,23,72.464,9,504.34,60.386,8.3521,53.784,8.8,64.17,7.5,0.563362769
1000,22,72.696,9,506.66,60.608,8.3597,53.982,8.8,64.404,7.5,0.561757538
1000,21,72.934,9,508.98,60.746,8.3788,54.4,8.8,64.698,7.5,0.560759692
1000,20,73.17,9,511.3,61.094,8.3691,54.816,8.8,64.892,7.5,0.558243385
950,50,65.794,8.55,418.14,53.518,7.8129,49.068,8.2,57.088,7,0.613023692
950,49,66.034,8.55,420.32,53.658,7.8332,49.448,8.2,57.378,7,0.612011385
950,48,66.274,8.55,422.48,53.992,7.8249,49.826,8.2,57.67,7,0.609596308
950,47,66.512,8.55,424.66,54.248,7.828,50.086,8.2,57.92,7,0.607745231
950,46,66.754,8.55,426.84,54.466,7.8368,50.286,8.2,57.838,7.1,0.606168923
950,45,66.992,8.55,429,54.8,7.8285,50.664,8.2,58.442,7,0.603753846
950,44,67.232,8.55,431.2,54.94,7.8485,51.04,8.2,58.426,7.1,0.602741538
950,43,67.47,8.55,433.38,55.196,7.8515,51.3,8.2,58.676,7.1,0.600890462
950,42,67.708,8.55,435.56,55.414,7.8601,49.618,8.3,58.906,7.1,0.599314154
