Irradiation,Isc,Voc,R,Im,Pm,Vm at Pmax,Duty Ratio,Vin,Iin,Pin,Iout ,Vout,Pout,Efficiency
1000,8.78,74.59,0.4699,8.255,499.9,60.56,54.06,60.56,8.257,500,3.665,129.4,474.1,94.82
900,7.902,73.18,0.5122,7.43,441.4,59.41,54.935,59.41,7.594,451.2,3.294,129.4,426.2,94.45921986
800,7.024,71.74,0.5649,6.604,384.7,58.24,55.82,58.24,6.845,398.6,2.896,129.3,374.6,93.97892624
700,6.146,70.27,0.6323,5.779,329.7,57.05,56.72,57.05,6.041,344.6,2.487,129.3,321.7,93.35461405
600,5.268,68.77,0.722,4.953,276.6,55.84,57.635,55.84,5.206,290.7,2.079,129.3,268.9,92.50085999
500,4.39,67.24,0.8471,4.128,225.3,54.59,58.58,54.59,4.353,237.6,1.677,129.3,216.9,91.28787879
400,3.512,65.68,1.034,3.302,176.1,53.33,59.535,53.33,3.489,186.1,1.287,129.3,166.4,89.41429339
300,2.634,64.09,1.346,2.477,128.9,52.03,60.52,52.03,2.621,136.3,0.9108,129.3,117.8,86.42699927
200,1.756,62.46,1.967,1.651,83.72,50.71,61.455,50.71,1.748,88.65,0.5504,129.3,71.15,80.25944726
800,7.024,71.74,0.5649,6.604,384.7,58.24,55.82,58.24,6.845,398.6,2.896,129.3,374.6,93.97892624
790,6.936,71.59,0.5709,6.522,379.1,58.13,55.9,58.13,6.766,393.3,2.856,129.3,369.4,93.92321383
780,6.848,71.45,0.577,6.439,373.5,58.01,55.99,58.01,6.687,387.9,2.815,129.3,364.2,93.89017788
770,6.761,71.3,0.5833,6.356,368,57.89,56.08,57.89,6.608,382.5,2.774,129.3,358.9,93.83006536
760,6.673,71.15,0.5898,6.274,362.5,57.77,56.17,57.77,6.528,377.1,2.734,129.3,353.6,93.76823124
750,6.585,71.01,0.5964,6.191,356.9,57.65,56.265,57.65,6.448,371.7,2.692,129.3,348.3,93.70460048
740,6.497,70.86,0.6032,6.109,351.5,57.53,56.355,57.53,6.367,366.3,2.651,129.3,343,93.63909364
730,6.409,70.71,0.6102,6.026,346,57.41,56.445,57.41,6.286,360.9,2.611,129.3,337.7,93.57162649
720,6.322,70.57,0.6174,5.944,340.5,57.29,56.535,57.29,6.205,355.5,2.57,129.3,332.4,93.5021097
710,6.234,70.42,0.6248,5.861,335.1,57.17,56.63,57.17,6.123,350,2.528,129.3,327,93.42857143
700,6.146,70.27,0.6323,5.779,329.7,57.05,56.72,57.05,6.041,344.6,2.487,129.3,321.7,93.35461405
